,iata,TaxiOut,lat,long
253,PUB,3.0,38.28908722,-104.4965722
206,MKK,3.411764705882353,21.15288583,-157.0962561
28,BFF,4.0,41.87402778,-103.5956389
167,KSM,4.40625,62.06048639,-163.3021108
182,LNY,4.536332179930795,20.78561111,-156.9514181
93,DUT,4.713596735299573,53.90013889,-166.5435
179,LIH,5.2046408839779,21.97598306,-159.3389581
45,BRW,5.747528747226145,71.2854475,-156.7660019
12,AKN,5.835489833641405,58.67680167,-156.6492175
88,DLG,5.908496732026144,59.0454125,-158.5033389
255,PVU,6.0,40.21919444,-111.7233611
277,SCC,6.037050424724381,70.19475583,-148.4651608
324,WRG,6.077126133363939,56.48432583,-132.3698242
8,ADK,6.08829568788501,51.87796389,-176.6460306
56,CDV,6.140002297002412,60.49183389,-145.4776503
17,ANI,6.171875,61.58159694,-159.5430428
228,OME,6.206086885380021,64.51220222,-165.4452458
203,MIB,6.280898876404494,48.415769,-101.358039
327,YAK,6.300126248134971,59.50336056,-139.6602261
159,ITO,6.324922628800291,19.72026306,-155.0484703
251,PSG,6.329928850126234,56.80165194,-132.9452781
233,OTZ,6.366747552506067,66.88467694,-162.5985497
321,VIS,6.422980431510286,36.31866667,-119.3928889
9,ADQ,6.473836508319267,57.74996778,-152.4938553
27,BET,6.745252078407444,60.77977639,-161.8379975
142,HRL,6.997093413978495,26.22850611,-97.65439389
325,WYS,7.389619883040936,44.68839917,-111.1176375
97,EKO,7.412272889205558,40.82492611,-115.7916964
55,CDC,7.560225846925972,37.70097028,-113.098575
124,GNV,7.684561353211009,29.69005556,-82.27177778
185,LWB,7.694939415538131,37.85830556,-80.39947222
6,ACV,7.7061301126560435,40.97811528,-124.1086189
188,MAF,7.815980853499208,31.94252778,-102.2019139
42,BQK,7.914628057913131,31.25902778,-81.46630556
310,TRI,7.979055403334417,36.47521417,-82.40742056
173,LBB,7.990009034942113,33.66363889,-101.8227778
79,CYS,8.0,41.1557225,-104.8118381
322,VLD,8.016504243948443,30.7825,-83.27672222
166,KOA,8.02112295856391,19.73876583,-156.0456314
302,SUN,8.033373825202991,43.50484139,-114.2965903
109,FAY,8.041728087084703,34.99147222,-78.88
15,AMA,8.120338654430299,35.2193725,-101.7059272
81,DAL,8.135453910688033,32.84711389,-96.85177222
87,DHN,8.240462175713974,31.32133917,-85.44962889
98,ELM,8.242184854982508,42.15991361,-76.89144333
316,TWF,8.271278109877597,42.48180389,-114.4877356
317,TXK,8.298093422306959,33.45370806,-93.99102
303,SUX,8.299415204678363,42.40260333,-96.38436694
260,RDR,8.304347826086957,47.961167,-97.401167
320,VCT,8.324744376278119,28.85255556,-96.91848722
114,FMN,8.333333333333334,36.74125,-108.2299444
120,GFK,8.354140761004725,47.949255,-97.17611111
64,CLD,8.377921098919508,33.127231,-117.278727
76,CSG,8.381231671554252,32.51633333,-84.93886111
133,GTR,8.38392312385601,33.45033444,-88.59136861
283,SGU,8.453333333333333,37.09058333,-113.5930556
237,PFN,8.459166450272656,30.21208333,-85.68280556
140,HOU,8.46165320676232,29.64541861,-95.27888889
225,OGG,8.491448327571126,20.89864972,-156.4304578
103,EWN,8.517470881863561,35.07297222,-77.04294444
243,PIH,8.543729903536978,42.91130556,-112.5958611
234,OXR,8.64794921875,34.20080083,-119.2072164
313,TUP,8.6511983681795,34.26810833,-88.769895
59,CHO,8.700877664338169,38.13863889,-78.45286111
292,SMX,8.702372539121656,34.89924833,-120.4575825
3,ABY,8.727521613832852,31.535515,-84.19447333
113,FLO,8.735776928266247,34.18536111,-79.72388889
187,LYH,8.744323790720632,37.32668528,-79.20043056
100,ERI,8.746918335901388,42.08202139,-80.17621556
199,MFR,8.766400758674552,42.37422778,-122.8734978
14,ALO,8.772431729518855,42.55708139,-92.40034361
1,ABI,8.78793764106871,32.41132,-99.68189722
274,SBA,8.796999203870415,34.42621194,-119.8403733
117,FSM,8.805900716165759,35.33659028,-94.36744111
57,CEC,8.822583695857764,41.78015722,-124.2365333
258,RDD,8.898838479102551,40.50898361,-122.2934019
121,GGG,8.913675601999092,32.38486111,-94.71171
287,SJT,8.931124787220112,31.35775,-100.4963056
284,SHV,8.953476354088103,32.4466275,-93.82559833
41,BPT,8.994251467710372,29.95083333,-94.02069444
224,OGD,9.0,41.19594417,-112.012175
132,GTF,9.04230057872442,47.48200194,-111.3706853
46,BTM,9.059229839405974,45.95479528,-112.49746
5,ACT,9.061766554903604,31.61128833,-97.23051917
156,ISO,9.08433734939759,35.32807944,-77.61552611
74,CRP,9.119176439622144,27.77036083,-97.50121528
209,MLU,9.124134681599072,32.51086556,-92.03768778
122,GJT,9.13199848168533,39.1224125,-108.5267347
318,TYR,9.132296126135532,32.35413889,-95.40238611
149,IDA,9.15599552929906,43.51455556,-112.0701667
108,FAT,9.163176399559624,36.77619444,-119.7181389
211,MOD,9.171051263387753,37.62581722,-120.9544214
